,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-05-12,1.0090870923436874,1.1443611106753828,0.9607237845786614,1.0250964488167884,1.163681483970271,1.1647996127415714,0.7454405897991964,0.862435931996492,1.0001115178833944,0.9826782425630564
2010-05-13,1.008981690778878,1.1389725930431145,0.9475493450465464,1.0363651816130965,1.1731414628810128,1.1736433738929781,0.7441333676810352,0.821979680071689,0.9818709674709362,1.0111819368057153
2010-05-14,1.0071767364381674,1.1524607611933295,0.9515516998409702,1.0349310713207551,1.1734066646153183,1.1637140974833924,0.7421114024640242,0.8174533175200838,0.9912577232803426,1.0063404335079262
2010-05-17,1.006896421293154,1.1265144062932162,0.9143234313953086,1.0656742241448074,1.1750633919866618,1.1581231608386757,0.7598340797866989,0.8029925200528456,0.993855243819497,1.0276094792012962
2010-05-18,1.006739082345133,1.122829033969021,0.9162503655544263,1.065940898259937,1.1717634341010814,1.1565734547482485,0.761784043095321,0.803877744217874,0.9935967417835587,1.0280426628906265
2010-05-19,1.0067862554376446,1.1306024772388603,0.9170254502938318,1.0657213261521292,1.1588233916420851,1.1647893676237282,0.7621034301638479,0.7908635112373079,0.9893824562861603,1.0334813565847518
2010-05-20,1.003681720925018,1.136584239690646,0.9203678141964617,1.052107694483926,1.1466436924749774,1.1316975936511486,0.7712727200834926,0.7917596457301296,1.015244748282317,1.0324956776851288
2010-05-21,1.0036874060203729,1.1295965601434586,0.9263893343960584,1.0469795971707927,1.1525691585729056,1.1332086363326253,0.7728003422662186,0.7933583142760173,1.0132170460752872,1.0283267006748442
2010-05-24,1.0034661390930135,1.1330673086587157,0.9255745828740614,1.0457573321867686,1.1532512320513886,1.133539319502348,0.7738418506576986,0.794702198548517,1.0114423928392482,1.0295337481684064
2010-05-25,1.0025314147607851,1.1248198302713834,0.9289739715798179,1.0386949856574448,1.1526812184009225,1.131099034605553,0.7847393952324178,0.8004137767227968,1.01443477209723,1.0209695275421344
2010-05-26,1.0057599415199046,1.1214460558062924,0.9302090131774505,1.0372006473812518,1.152230710846576,1.1403701538131765,0.8011899661044704,0.7773602886270325,0.9612553037351999,1.0311267902035248
2010-05-27,1.0025169337835906,1.0993028499331712,0.9217129368514526,1.037703487152259,1.1309720214037544,1.134622543360667,0.8027893108104913,0.7625807186807572,0.9622012493047413,1.0192887953818228
2010-05-28,1.0021855901154535,1.0919865391569448,0.9241721887814465,1.0397634592062683,1.129174388718281,1.1353651587274396,0.8001724519542538,0.7581104762164944,0.9568378820675061,1.022358291611106
2010-06-01,1.0022115245077683,1.0891210761605832,0.8703727753452628,1.0535920645315333,1.1473228968068834,1.1088728196009883,0.8430615543013498,0.7064526895616564,0.9605554257446006,1.038815996061379
2010-06-02,1.000716701071328,1.0946748757927403,0.9504036317410827,1.0563051254918425,1.1248769914544372,1.0833800689586057,0.829930004779304,0.7189425521314969,0.9612888540277787,1.0222813989635102
2010-06-03,0.9991839120103828,1.0802981018368953,0.9628853647932913,1.0569936731229324,1.1211140888423257,1.0859980760237364,0.8262796291253084,0.7225108780251607,0.9669331294987514,1.013348484797539
2010-06-04,1.0030456124775706,1.0880668340117219,0.9494108507550774,1.060698758458671,1.1455816720790102,1.0651927030808277,0.8402521458789106,0.7417633467103607,0.974679080585798,1.0230200858811378
2010-06-07,1.0043271544656647,1.0684939358617294,0.9710428608315451,1.0596616445217129,1.1406760616383917,1.023252008663277,0.8564784512461011,0.7752729841397716,0.9986968618158597,1.0353878532969731
2010-06-08,1.0032871106449128,1.0979491488726287,0.9932756514702379,1.0687499857715388,1.149263616756104,1.0022665639422335,0.8751484756242653,0.7926849038346987,0.9673195525732624,1.037840889989703
2010-06-09,1.00231846640612,1.0779368392095379,0.9907585005489524,1.071903138955746,1.1450927892252865,1.0045918953180684,0.8721090969060585,0.7953928336061524,0.9661529023936963,1.0339950762639047
2010-06-10,1.0028042897335043,1.095902535850808,1.0391412735882126,1.0707184704951698,1.1496120256895748,0.9938106978439587,0.8572765882896564,0.8049979807799869,0.9476857530298457,1.037063798414656
2010-06-11,1.0027812145909198,1.0973716267907268,1.0393695628504533,1.0711355292454106,1.149017723754808,0.9931931118291575,0.8564440654171629,0.8050947707139947,0.9498543891695795,1.0351518491532228
2010-06-14,1.0022211396379823,1.1035411877645225,1.032956878488077,1.067338966063821,1.1648157864209785,0.9948762596704965,0.8486764341121279,0.7897741943238678,0.9378904401847431,1.0409677375855304
2010-06-15,1.0013840607868194,1.0818486280815804,1.0372906925444931,1.0412968947209467,1.17708888701599,0.9982661733745164,0.8435293289641771,0.7982142618755494,0.9448612075514794,1.0427704566164835
2010-06-16,1.0022597760991814,1.0800030284527515,1.0402019028013045,1.0403557157833503,1.1744669243346266,1.0030287829653644,0.8370842150905163,0.8014501152238209,0.9480932439559684,1.037203439925689
2010-06-17,1.0033791552491602,1.0665553130077887,1.0377761605708267,1.0459658049606713,1.1753645070890812,1.0084317306314523,0.8433157357694933,0.8097177868616411,0.9440446185266346,1.0248731449548416
2010-06-18,1.0037118576411626,1.058111145031438,1.0320849851345175,1.0571644407178655,1.1748113024478892,1.0078270707052137,0.8480285123615079,0.8063014084043428,0.9437392944275637,1.022236292727624
2010-06-21,1.0032540080128873,1.0460702048147208,1.0232623195703634,1.0655227256019961,1.1718128491445527,1.0105801885032655,0.8474083480241378,0.8108109516409031,0.9446302924812263,1.0248658375497048
2010-06-22,1.0057507965244175,1.0510494838042166,1.032049140255515,1.0708781846988773,1.1621277478890164,1.0092388523497193,0.854716348585175,0.8168176751605148,0.9477597124346473,1.0266392013747345
2010-06-23,1.0077646144609909,1.0434702722175189,1.0363497828937218,1.0829576979165723,1.1591512729052882,1.0068637882847793,0.8432872132726077,0.8193342979264256,0.9480692808215034,1.0269156470272471
2010-06-24,1.0078015619417073,1.0490389775892697,1.0394161891918692,1.0787838369263545,1.1572299761198952,1.0127356261643616,0.8431644979209721,0.8194160707818297,0.9427667376909397,1.0309640601880599
2010-06-25,1.004840123823597,1.0189253980900312,1.0537485961981383,1.0228477397058882,1.1533397983054852,1.024661236054549,0.8598059578579921,0.8077274324885514,0.9149031031489397,1.0442803934570748
2010-06-28,1.0029637217097842,1.0113743161964122,1.0415354326667137,1.0194608983191806,1.1467930774802755,1.0251836111984656,0.8719868478531344,0.8272646112486055,0.9100422982788923,1.0353170060197256
2010-06-29,1.003995528201935,1.001555692176567,1.0080992480858544,1.0235142878532575,1.152199791837913,1.0401331170304593,0.8731206668944942,0.8184029146233908,0.9074592528264899,1.0374036693146023
2010-06-30,1.0036643386617683,0.9997631620952685,1.0044237055640095,1.0226439185833671,1.1486189319125817,1.045390537595189,0.8735170247114928,0.8178946177331755,0.9082387603607494,1.0385983082471866
2010-07-01,1.0034152386091504,1.0116021895114358,1.0110649034507984,1.0191197791686928,1.1502401749899418,1.0433616686261598,0.8749044370152187,0.8198996512381914,0.9003968994971311,1.0471565949034987
2010-07-02,1.0033356736655774,1.010718453774912,1.015656718659435,1.0126220115133835,1.144517772710435,1.04440659983632,0.8779781401609456,0.8218814057642291,0.9086433093972415,1.0462299468121898
2010-07-06,1.0043036784103705,0.9951161677589876,1.0243723026299565,0.9934956481344568,1.1490492229043217,1.0633216977003705,0.8716892613448187,0.8342777814283027,0.907919483142058,1.042578202192472
2010-07-07,1.0016289019222593,1.0131925318003203,1.0279239840525538,1.028856571669275,1.142504988636249,1.06103482831867,0.8477737742834085,0.848016639919313,0.8820753043802945,1.0176376508820342
2010-07-08,1.0026754723721223,1.024886356903408,1.0359596535118107,1.028860284952767,1.141591043385967,1.053600528291216,0.8590172145182214,0.8484966631554729,0.8849568061353844,1.0113920770304772
2010-07-09,1.002541099496751,1.01826841382125,1.0393607125956956,1.0269292412194018,1.1419351395140915,1.0546596403208341,0.8601149764486418,0.8467680890978289,0.8839389957589731,1.0118433268415463
2010-07-12,1.0026080649826548,1.0109582873577185,1.0374314793869293,1.0251925249347829,1.1410560730556014,1.058034827109672,0.8609505903475616,0.8476360199600551,0.8828731846450376,1.013968561202836
2010-07-13,1.0022834986158737,1.0141469055449732,1.0354612676264627,1.025832940940598,1.141267702606738,1.0583493245376612,0.8619571873798323,0.8467749650269625,0.8793803234175274,1.0130587863342584
2010-07-14,1.0026110312967058,1.01555704822771,1.0393480605636773,1.022998697712992,1.142520287468218,1.0698704662637146,0.8529524271745388,0.8432169683229225,0.8703948300862794,1.00485584829057
2010-07-15,1.0017348905785255,1.0172242300847727,1.038151999705355,1.0177198737119273,1.141352555858329,1.0713664589896599,0.8540779763060018,0.847602721662391,0.8724233876595832,1.0097457759102726
2010-07-16,0.9996076077607654,0.9969229665065699,1.018527202655678,1.030996094399303,1.1373957851504886,1.0756605784978241,0.8447706703769967,0.8383736361127502,0.8751055706017674,1.0144738447593693
2010-07-19,1.0002636089714652,0.9902884116469449,1.0261948027074517,1.01948162963905,1.1380943180419298,1.081199067811659,0.8416766822658742,0.8525536162025134,0.8701807843693082,1.0176739367903072
2010-07-20,0.9997170523493114,1.0063181491525464,1.0367046621586047,1.0192693225004665,1.1345679218949374,1.0751745307465388,0.8465788238140839,0.8564686258566107,0.8629145175994503,1.0163677232115376
2010-07-21,1.000039578365495,0.9943169030721164,1.0489382694916296,1.0156271519509432,1.1236341133334236,1.077801394829705,0.8435786294281906,0.8606746799638764,0.8628719637003986,1.0197487831153276
2010-07-22,1.0003535980204221,0.9887039169030021,1.0443719829750102,1.0220834466699522,1.1262452805156695,1.0825686803738963,0.8400797194943862,0.8602860558849289,0.8514012826157477,1.0242640092887194
2010-07-23,1.0006080132195558,1.0025711690328716,1.0414609984812935,1.0266360054574322,1.1313485475954235,1.07722367390028,0.8431508690812493,0.8549522477155863,0.8447374265395685,1.0261206642559844
2010-07-26,0.9996070368553716,1.000893954510827,1.0538974799149214,1.0299265503434307,1.1215553226921293,1.0707982350436398,0.8431271040989706,0.8616177417053186,0.8444740601993245,1.024942843503517
