,Mkt-RF,SMB,HML
Mkt-RF,0.00011290177143141142,-1.098228906142458e-05,1.0815629220580962e-05
SMB,-1.098228906142458e-05,3.4080223215557765e-05,-2.579308204586947e-06
HML,1.0815629220580962e-05,-2.579308204586947e-06,3.407264074310827e-05
