,Mkt-RF,SMB,HML
Mkt-RF,1.0,-0.17704810271053634,0.1743807396168863
SMB,-0.17704810271053634,1.0,-0.0756918512511746
HML,0.1743807396168863,-0.0756918512511746,1.0
