Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-05-13,1.2354531682427057,1.1590428388372462,1.3149836193459337,1.1624793583774935,1.0396484597829592,0.5632697900704583,0.7279939331478724,0.6973717799836057,1.0612075092681772
2010-05-14,1.2336738492494113,1.1474860113723746,1.3144775252615035,1.1650125419137165,1.0419537363767855,0.5627739777077146,0.7246544302371659,0.7015341374210633,1.0735762461080673
2010-05-17,1.2347569514409475,1.1442866967353273,1.3186676214238524,1.1665789185156445,1.042552591115914,0.5619542497608072,0.7157904415151418,0.701408333725157,1.070574917202197
2010-05-18,1.2392350279938382,1.1459097449050712,1.3129020868027272,1.164545401073965,1.0457607093190506,0.5633920617836253,0.7185507453648614,0.7009968734559352,1.0698055858123325
2010-05-19,1.2351079355115362,1.1344129121419018,1.3293020617987246,1.158215541255201,1.0456249069667336,0.5633623960822062,0.7191346494904324,0.698441602345204,1.077468709240704
2010-05-20,1.2320832111966191,1.1367571268502779,1.3252079161584462,1.1603237360564316,1.0470932039337315,0.5630846154439137,0.7205823107998571,0.6966140026759575,1.0785958003352207
2010-05-21,1.221873079759248,1.1381238826669087,1.3129881736022058,1.1631062355267836,1.0221802291310123,0.5966807915545755,0.729541652131427,0.7096930388203777,1.0733771793218245
2010-05-24,1.2290017002385984,1.1434697134697596,1.3307146519729052,1.163486761205889,1.0129676485774919,0.5894548864890393,0.7194077176569363,0.6959149470902467,1.0735376038294409
2010-05-25,1.2334282184487697,1.1505000140660324,1.3418806131142522,1.1650823532017076,1.004888332212782,0.5904516487681101,0.7206270715464551,0.6869149077909835,1.0691206476008421
2010-05-26,1.2413134025724455,1.1554519060122643,1.3380987901812027,1.1643691919635037,1.0022869013058273,0.59022294583889,0.7217259676259401,0.6879284020567655,1.0708241885417995
2010-05-27,1.2403089335028727,1.1577098359249438,1.3422791071108453,1.1651226981697766,0.9989659748456989,0.5929939255539945,0.7165939784400467,0.671652133456192,1.0713352203247275
2010-05-28,1.233088337517282,1.1652527820702039,1.3489598841748798,1.1477239763799492,0.9968444051627511,0.5933835579329427,0.7047242415607209,0.6693453734211315,1.0653201301756312
2010-06-01,1.2065966520722573,1.1723838632869268,1.3497062660627344,1.144760034472468,1.0052950056827075,0.5870277217103533,0.6945345647843357,0.6539659991549257,1.0775653725086076
2010-06-02,1.234142545470159,1.2128732866406813,1.3428282995844238,1.1659263479096595,0.9748800393835909,0.5956454590614156,0.6985521695647164,0.6607241532043047,1.081347278631492
2010-06-03,1.2316495845941315,1.2347955104477513,1.3360332374429535,1.1568277146179495,0.9683303749517439,0.5989066277304343,0.7033167057235092,0.6716773715247909,1.0741918114593527
2010-06-04,1.2253214816033036,1.2370321885260451,1.3297549612536887,1.1568631070506565,0.9703028112019579,0.5991221395031417,0.7076091758076533,0.6721060953938248,1.0753097948692643
2010-06-07,1.220415081059329,1.218561133943556,1.3092520914747925,1.17480294037843,0.9643163338077866,0.6123154717880919,0.720835970728841,0.6818088324924824,1.081804975964996
2010-06-08,1.2196060876952486,1.215882030862429,1.3196648085786935,1.1854013300164317,0.9530710037158595,0.6155911911909782,0.709186087077232,0.6771578401416957,1.091323051838766
2010-06-09,1.224826385270101,1.2156496025134134,1.329480572623414,1.1852914323650245,0.9419873495708153,0.6242980094553725,0.7145394315717012,0.6754132124543674,1.0916976774557174
2010-06-10,1.2007882013707312,1.2020406493469002,1.3346355019255802,1.1871657290508588,0.9455591422793577,0.6260723836167007,0.719649821568928,0.6792604581473017,1.0948420810225306
2010-06-11,1.2110476125989977,1.2300910930736046,1.3282160450209424,1.1898557204038034,0.9404713101272167,0.6188262753145011,0.7267824301761738,0.669500624375993,1.0965546494891159
2010-06-14,1.2110935602639907,1.2296401779256148,1.3256478700245176,1.1888533012504632,0.9438874508662026,0.6140620599951357,0.7249129619999248,0.6684787005305297,1.0959555407057582
2010-06-15,1.2123098695811556,1.2238032756879114,1.3205213378868088,1.2037113291297215,0.9462833123263888,0.6105328508068598,0.7160180242649933,0.6600483253153651,1.1042487014213824
2010-06-16,1.2069940999015365,1.2264990796549364,1.3103380257903365,1.2078025383322724,0.9520055518169571,0.6056066706114117,0.7207916969206328,0.6645056105247279,1.101669482805506
2010-06-17,1.203371335500384,1.2265081910366389,1.3046731806362808,1.206540507131188,0.9531228929963205,0.6076986058900151,0.7170552420423715,0.6645571280796281,1.1025759445413832
2010-06-18,1.1954145230627986,1.2216393412102224,1.3092931857639907,1.2036859797538202,0.9559943171702249,0.6048300862202215,0.7167340921342362,0.66444807782186,1.1014402873598914
2010-06-21,1.1949109246219092,1.2215959047890923,1.3111898490675256,1.203844086153439,0.9557638675632284,0.6046926045378747,0.7161578568614103,0.6635695127210912,1.1008072073586876
2010-06-22,1.1894166589529245,1.2181474276900874,1.3183285163216951,1.2015301617174188,0.9566018548585442,0.6037326537080031,0.7185652671343755,0.6629378998006786,1.1023702257831203
2010-06-23,1.1947309717241463,1.2281363635669982,1.3116273963468301,1.2065833130514667,0.9487704385483098,0.6047062791257634,0.7331667063156896,0.6607704455789373,1.107834652856177
2010-06-24,1.1865224531577703,1.223948976007953,1.3119397133041202,1.202548349347128,0.948663530598809,0.6021035424873454,0.7287916772787691,0.6620018828709221,1.1093994035557382
2010-06-25,1.193758978175967,1.226109160664431,1.3089328905513171,1.1995639247465133,0.9542155566612844,0.6030071402912077,0.7240826454263934,0.6554225308638317,1.1154458711222077
