,0
2010-01-05,-0.0011815408665850524
2010-01-06,-0.0009094961946049751
2010-01-07,0.0004046651284083519
2010-01-08,0.0006132840947329389
2010-01-11,-8.177044773620716e-05
2010-01-12,0.00020875836448063824
2010-01-13,0.00038660787848174283
2010-01-14,0.0007175930494637724
2010-01-15,-0.000398129516723144
2010-01-19,0.0005367343216118384
2010-01-20,-0.0013304643129167949
2010-01-21,-0.0016682215081076888
2010-01-22,-0.0006259672073472763
2010-01-25,0.0011872500158968784
2010-01-26,0.00011033148430591565
2010-01-27,-0.0001733941676796795
2010-01-28,-0.0007710501820748505
2010-01-29,-0.001400112438270323
2010-02-01,0.0014304252592881195
2010-02-02,-0.0005056314280028409
2010-02-03,-6.9724300449424195e-06
2010-02-04,-0.0005266049418395473
2010-02-05,-0.0008784614436583224
2010-02-08,0.0006298302287353055
2010-02-09,-0.0002135786544688236
2010-02-10,8.361489558391831e-05
2010-02-11,0.00021779678988535604
2010-02-12,0.0012191885073150536
2010-02-16,-0.002059356474791562
2010-02-17,3.483751705276542e-05
2010-02-18,-0.00010627012536254098
2010-02-19,-0.0006103108492791121
2010-02-22,0.0006442342999640479
2010-02-23,0.0003926041758311252
2010-02-24,-0.0006015277872058172
2010-02-25,0.00027919292316249474
2010-02-26,-0.0014044543543885802
2010-03-01,0.0001549613727213281
2010-03-02,0.00045701314305337994
2010-03-03,0.0002408501094340775
2010-03-04,-0.0005046085841852997
2010-03-05,0.0006190433389149375
2010-03-08,9.993696230038174e-05
2010-03-09,-7.346985854704362e-05
2010-03-10,-0.000701603864529182
2010-03-11,-0.00022093438968123942
2010-03-12,0.00031413171385446777
2010-03-15,4.817174068952779e-06
2010-03-16,4.260427215329633e-05
2010-03-17,0.000337764482396875
2010-03-18,0.00021573657785797578
2010-03-19,0.0001994746605641232
2010-03-22,-5.947266818484651e-05
2010-03-23,-0.00040789078076902685
2010-03-24,0.0002163197581483223
2010-03-25,0.0002652291390691495
2010-03-26,-0.001292378677514913
2010-03-29,0.00039715408677134124
2010-03-30,0.0006702799227724779
2010-03-31,-0.0005396341919987994
2010-04-01,-0.0005903952267002181
2010-04-05,0.0002429022326656989
2010-04-06,0.0008145936271238303
2010-04-07,-0.0006737736426842894
2010-04-08,1.5562246455786116e-05
2010-04-09,-0.00014807906343992407
2010-04-12,-0.0003100078415918686
2010-04-13,0.0002798317680057831
2010-04-14,0.00028301052176825034
2010-04-15,0.0005569435365811441
2010-04-16,0.0001435955344095234
2010-04-19,-0.00019849885967907063
2010-04-20,0.0011237901087364542
2010-04-21,-0.00022876900017067877
2010-04-22,0.0004664727840060913
2010-04-23,0.00011700686845535994
2010-04-26,0.0011016361591457474
2010-04-27,-0.0006758934019118375
2010-04-28,0.0010236431742079227
2010-04-29,-0.00028391289956218244
2010-04-30,-0.0014711907217875193
2010-05-03,0.0003471270129451181
2010-05-04,0.00010695110294810933
2010-05-05,0.00039182896104838095
2010-05-06,-0.0018194391312126648
2010-05-07,0.0004352387245298503
2010-05-10,0.0002481872638716229
2010-05-11,0.0004491851856156374
2010-05-12,-0.00017624614229589004
2010-05-13,-0.000987165519949533
2010-05-14,0.0003279896574223118
2010-05-17,-0.0005308541357401618
2010-05-18,-0.00011273119004729347
2010-05-19,-0.0008243891714218828
2010-05-20,-0.00028037415029059237
2010-05-21,-0.000307812698500878
2010-05-24,-0.000711887237095558
2010-05-25,0.0006855115409444381
2010-05-26,-0.0014080516690559326
2010-05-27,-0.0002025353759785159
2010-05-28,-0.0008902742727668108
2010-06-01,0.0001567120397492905
2010-06-02,-4.7726408221506617e-05
2010-06-03,-0.0009439139691072977
2010-06-04,-0.0016617499759198628
2010-06-07,0.0009673368268514372
2010-06-08,-0.0002975060285723436
2010-06-09,0.00021807553297022424
2010-06-10,0.00020380843043337968
2010-06-11,5.0909081498939565e-06
2010-06-14,-3.660974659484644e-05
2010-06-15,-0.0007305740243265559
2010-06-16,0.00042534791454997825
2010-06-17,0.0005715998741767433
2010-06-18,-0.00019312152700019488
