Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-05-13,0.8789830022596036,0.9027586419222895,0.9164763005248149,0.9523485895957109,0.9322403181272007,0.8744860641252562,0.8361951656917354,0.81390093978369,0.9363904548541879
2010-05-14,0.8822638136267741,0.9054912282983412,0.9228276883664505,0.9537838845709038,0.9345806418364709,0.8775038176370646,0.8461732963882221,0.8254022078240243,0.9376983391520832
2010-05-17,0.8879726555650621,0.9062487766630873,0.9228341159067489,0.9532833504985354,0.9384939720633909,0.8685424019994268,0.8476970981844894,0.8305703574473458,0.9365862433142618
2010-05-18,0.8928164551767013,0.9051386596847215,0.9269746802466067,0.9541183876775515,0.9419143564159931,0.8703538590729091,0.8530534540354353,0.831209127509427,0.9374022667472932
2010-05-19,0.8929401554462295,0.9052658580570467,0.927512854618779,0.9563588024274785,0.9422523052383529,0.8741366808467244,0.8531989291373212,0.8307870767147381,0.9384146821691699
2010-05-20,0.9033430042820364,0.9151709248162734,0.9337825911285316,0.9628863097181096,0.9450637107048812,0.8889419985817951,0.8724785398004347,0.8503167166929089,0.9451597429709366
2010-05-21,0.9046760220181898,0.9161428760743248,0.9319663295291251,0.9629688158677936,0.9431720657151395,0.897689849359123,0.871350920506583,0.8465417977642691,0.9459940265641796
2010-05-24,0.9051015931586202,0.9172550203064469,0.9309044607954705,0.9644427355708091,0.9403043043164526,0.8980104005051465,0.8721876118723599,0.8434437806857388,0.9447944831872739
2010-05-25,0.9052637122960193,0.9171483114336207,0.9300128126156245,0.9646593587065355,0.9397795902080339,0.8871974979660502,0.8725768701268038,0.8447450027203778,0.9437199739596079
2010-05-26,0.906431832372812,0.9169927349734337,0.9296915200936549,0.9624023335413894,0.9391367027230111,0.8869622632210787,0.8711113265127823,0.8447805586621128,0.9432714723168591
2010-05-27,0.9113952270215475,0.9238420587238583,0.9346656468383768,0.9639171798611414,0.9433261209185387,0.8945239247933437,0.8744092586696033,0.860216542231797,0.9466906985411493
2010-05-28,0.9118045018338854,0.9241400683301497,0.9373380509344221,0.9643143375123491,0.9431242319027909,0.8936152407538549,0.8666491456408154,0.8580010277438447,0.9470313711299586
2010-06-01,0.9144911691963286,0.9132548710141515,0.936622118697687,0.9639502222403841,0.9439076810392827,0.885470064243004,0.8639768705313725,0.8563898954833588,0.948531283048411
2010-06-02,0.9179582310133871,0.9154396036044039,0.9361296516273631,0.9666507193879581,0.9468915627488685,0.9011668983978657,0.8652653326541877,0.8634862720418147,0.9488306786167318
2010-06-03,0.9130062052671458,0.913851375028706,0.9342198316375088,0.9666217292055878,0.9458186606793422,0.9012546218227683,0.8626869914290618,0.8633204535161261,0.9488003628817143
2010-06-04,0.9188635123591226,0.9162994226106711,0.9393929280730283,0.9690520354698511,0.9494629277726719,0.9099981318951861,0.8771280110051803,0.8749430666939337,0.9536948773500451
2010-06-07,0.923372220800178,0.9171329701462568,0.9441751484496576,0.9671409480554954,0.9501216785225355,0.9107398142251485,0.8692721897748273,0.8713573387258055,0.9539878637435502
2010-06-08,0.9224076047941681,0.9177760239252772,0.9460371695709963,0.9670254329701469,0.9562866784281217,0.9087409207370514,0.8692537006579827,0.8706001980346731,0.9544088074356986
2010-06-09,0.9204586820221387,0.9172524850439749,0.9468826996379142,0.9661928784884452,0.9573216128540323,0.909090831247377,0.8692547197184236,0.8703641394311843,0.9538868434537724
2010-06-10,0.9281885977192983,0.921336171557792,0.9478588319931428,0.9679987434267812,0.95857356079056,0.9122769339300586,0.87672960341937,0.8762498313106497,0.9565931594632872
2010-06-11,0.930327155946949,0.9209516467793579,0.9481560489124301,0.9677499591037954,0.9580584218403605,0.9044325544677873,0.8755603244656441,0.8796271191593337,0.9549242825390228
2010-06-14,0.9295862440852823,0.9207498315681286,0.9482372634242249,0.9676973886427811,0.9596521157716493,0.9020987661151199,0.8733701618981473,0.8819408836311508,0.9552961104684501
2010-06-15,0.9270072879883928,0.9180856983157468,0.9449887746347155,0.9685738130257622,0.9585225158600545,0.8962436899431315,0.869089144605385,0.8778662423118745,0.9546311752111213
2010-06-16,0.9316992840036302,0.9181631525134826,0.9461609223851288,0.9695550182526886,0.9601705997755567,0.8947475666457482,0.8677606639095224,0.8769789184662501,0.9542286375727055
2010-06-17,0.9310481375439094,0.917739444667812,0.9472337782460429,0.9695193878279715,0.9602132281109269,0.8916807661752156,0.8667328456199247,0.8766669570889969,0.9523010345339769
2010-06-18,0.9309656700780723,0.9166569272502604,0.9475182227801169,0.9692936749824201,0.9604252459071873,0.8897445832005461,0.8655513087609014,0.8741778861973896,0.9512143333248556
2010-06-21,0.9291265793904193,0.9165865557353136,0.9493307603296878,0.9688047863407317,0.9598726442261281,0.8897958965244701,0.8651170592745182,0.8747396282521978,0.9507384408667866
2010-06-22,0.9301661792776034,0.9173744443752858,0.9515915716423946,0.9689568123192509,0.9580711454453071,0.8910372954885768,0.8643989835494943,0.8750951077809639,0.9512425233976287
2010-06-23,0.9293785354818151,0.9174115971905706,0.9516701175933155,0.9700670289014642,0.9582638583960754,0.8861554079295392,0.8634680435803215,0.8751912685616987,0.9511265433481775
2010-06-24,0.9297431214158548,0.9174046246963181,0.95130678411826,0.9700892362880289,0.9581332070438034,0.8866338758323871,0.8593969812424423,0.8732529080199746,0.9511888988724875
2010-06-25,0.9286677055210445,0.9182536530194038,0.9447114885263488,0.97008998891551,0.9573636806976297,0.8760601471422913,0.8624960057470954,0.8740026990523199,0.9510560250212418
