,Mkt-RF,SMB,HML,RF
Mkt-RF,1.1290177143141145,-0.10982289061424581,0.10815629220580956,-0.00018520275245094875
SMB,-0.10982289061424581,0.3408022321555778,-0.025793082045869473,-7.79828549997224e-05
HML,0.10815629220580956,-0.025793082045869473,0.34072640743108307,7.788500355768796e-05
RF,-0.00018520275245094875,-7.79828549997224e-05,7.788500355768796e-05,0.00014408177738365848
