Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Mkt-RF,SMB,HML
2010-01-05,0.002643556119950936,0.003228220485986793,0.008128626220597889,0.01821286200962809,0.0035247781205297217,-0.0012901698183519948,0.0003749343467517613,-0.011975928340077982,-0.009855243856648708,0.003660101916097083,0.31,-0.58,1.22
2010-01-06,0.0007036604298189404,0.016850815792804792,0.01190412331751492,0.0020035897058425373,0.0021089437152792137,-0.011250397863117231,-0.0007496796274772233,0.005843917858742472,0.010171912188552365,0.0013274917838141875,0.13,-0.25,0.52
2010-01-07,0.004212552092655304,-0.0078092474980389764,-0.0015011498768460207,0.021122778073882305,0.010826183381546808,-0.0039242149718522286,0.0,-0.0045424338656346475,0.003472455493313821,0.008257684189177203,0.4,0.08,0.94
2010-01-08,0.0033221324378968297,0.013841207756378562,0.0064886429092132205,-0.00589585867992557,0.01585123508226986,0.006531779032004768,-0.00338187761822482,-0.0009759764890678211,0.0015750159628524494,-0.0003291563994847433,0.33,0.4,0.01
2010-01-11,0.0013956020216906778,-0.005455655792065224,-0.0013277312844501244,0.0006566919060151852,0.010880657593529072,-0.0039141262987237215,0.002631022800081852,0.010362764477249618,0.005647589638459719,-0.001976246468159307,0.13,-0.13,-0.21
2010-01-12,-0.009369847985086615,-0.0191869725561336,-0.014552337540343987,-0.014550028547813263,-0.008149171691026455,-0.010953110360410237,0.005615045265934397,-0.004196925902230098,-0.0072226056013121155,-0.0129418004099099,-1.0,-0.19,-1.31
2010-01-13,0.008410554982010847,0.011672490974563332,0.0036999527060729907,0.01126163239549156,0.004082987759552824,0.009645090219527223,0.007067156660689041,0.010939555177156456,0.013150285378006157,0.011291877388116238,0.85,0.27,0.34
2010-01-14,0.002701030054503309,-0.012259288383743265,0.0028500187224915104,0.004600855349372057,0.0,0.0026145823794541585,-0.0029696457303132057,-0.004489942762474065,0.008979386967215466,0.0,0.24,0.28,0.05
2010-01-15,-0.011287747680142624,-0.007369731357056722,-0.008067554128095296,-0.020537078213128626,-0.012987478327847177,-0.014023206864336087,-0.00484415808624175,-0.0064496124146824155,-0.0068049072387149,-0.009957004055273487,-1.12,-0.13,-0.4
2010-01-19,0.012418246468208908,0.015850215371714018,0.009071019924737043,0.01263722455567324,0.010948027888091068,0.0170642462815107,0.005958744831045444,0.011579483466643113,0.02392014579807691,0.013254169598067387,1.26,0.43,-0.16
2010-01-20,-0.01022071162882117,-0.01792336565872437,-0.015673749968070808,-0.002647255347981955,-0.015429507415772878,-0.016181785476066753,-0.007454230407275905,-0.010609414591009678,-0.008520915085095405,-0.013587371530639764,-0.98,-0.59,0.25
